open,high,low,close,volume
1.14232,1.14232,1.14216,1.14222,31
1.14222,1.14234,1.14222,1.14233,31
1.14233,1.14233,1.14211,1.14216,38
1.14217,1.14222,1.1421000000000001,1.14212,34
1.14212,1.14215,1.142,1.14215,59
1.14214,1.14226,1.14211,1.14222,27
1.14217,1.14236,1.14217,1.14234,36
1.14234,1.14238,1.1421999999999999,1.14221,45
1.14222,1.14227,1.14211,1.14216,23
1.14215,1.1421999999999999,1.1421000000000001,1.14218,34
1.14216,1.14232,1.14216,1.14226,28
1.14226,1.14237,1.14218,1.1421999999999999,44
1.14217,1.14222,1.1421000000000001,1.14216,30
1.14216,1.14216,1.1421000000000001,1.14212,18
1.14213,1.14222,1.14205,1.14207,40
1.14206,1.14222,1.142,1.14207,37
1.14206,1.14218,1.14206,1.14218,38
1.14216,1.14217,1.1421000000000001,1.14212,33
1.14212,1.14226,1.14211,1.1421999999999999,29
1.1421999999999999,1.1421999999999999,1.14186,1.14186,32
1.14186,1.14196,1.14182,1.14185,34
1.14185,1.14196,1.14174,1.14181,80
1.14181,1.14204,1.1418,1.14201,57
1.14201,1.14208,1.14199,1.142,58
1.142,1.14208,1.142,1.14207,38
1.14207,1.14208,1.1419,1.14193,20
1.14192,1.142,1.14188,1.14193,21
1.14193,1.14206,1.14193,1.14203,25
1.14204,1.14208,1.14192,1.14196,46
1.14196,1.14198,1.1419,1.14196,37
1.14196,1.14197,1.14179,1.14179,73
1.14179,1.14185,1.1416,1.14176,72
1.14176,1.14182,1.14156,1.14169,67
1.14169,1.14169,1.14155,1.14155,20
1.14155,1.1418,1.14155,1.1418,25
1.14181,1.14198,1.14181,1.14196,32
1.14197,1.14213,1.1419,1.14213,32
1.14213,1.14227,1.14202,1.14227,31
1.14228,1.14228,1.14215,1.14227,36
1.14227,1.14242,1.14226,1.14237,41
1.14237,1.14239,1.14233,1.14233,17
1.14233,1.14233,1.14223,1.14232,15
1.14234,1.14237,1.14227,1.14227,15
1.14227,1.14227,1.14218,1.14222,23
1.14222,1.14227,1.14218,1.14223,31
1.14221,1.14228,1.14217,1.14223,24
1.14223,1.14231,1.14221,1.1423,34
1.1423,1.1424,1.14228,1.14237,34
1.14236,1.14241,1.14232,1.14237,42
1.14237,1.14255,1.14237,1.14255,50
1.14255,1.14266,1.14253,1.14265,17
1.14264,1.14268,1.14262,1.14268,16
1.14263,1.14273,1.14263,1.14273,22
1.14272,1.1428099999999999,1.14265,1.14265,24
1.14264,1.14274,1.14264,1.14272,20
1.1427100000000001,1.1428,1.14266,1.1428,37
1.14282,1.14286,1.1428,1.14286,11
1.14286,1.14291,1.14284,1.14286,25
1.14286,1.14287,1.14277,1.14283,21
1.1428099999999999,1.14282,1.14278,1.1428,33
1.1428,1.1428,1.14269,1.14277,42
1.14276,1.14291,1.14276,1.1429,36
1.14291,1.143,1.14291,1.14295,27
1.14295,1.14304,1.14289,1.14303,18
1.14303,1.14316,1.14302,1.14316,24
1.14314,1.14322,1.14313,1.14322,14
1.1432,1.1433,1.14313,1.14317,27
1.14317,1.14323,1.14312,1.14312,17
1.14308,1.14321,1.14306,1.14319,28
1.14317,1.14326,1.14314,1.14323,44
1.14322,1.14322,1.14307,1.14308,41
1.14308,1.14308,1.14301,1.14302,11
1.14306,1.14311,1.14287,1.14292,32
1.14292,1.14302,1.14292,1.14301,17
1.14297,1.14297,1.1429,1.14292,28
1.14291,1.14301,1.14288,1.14297,28
1.14296,1.14298,1.14295,1.14296,16
1.14296,1.14302,1.14289,1.14301,21
1.14301,1.14302,1.14289,1.14289,19
1.14289,1.1429,1.14259,1.14268,33
1.14266,1.14266,1.1425,1.14261,24
1.14262,1.14269,1.14261,1.14265,27
1.14264,1.14272,1.14255,1.14255,31
1.14252,1.14256,1.1424,1.14246,29
1.14245,1.1425,1.1424,1.14246,32
1.14247,1.14249,1.14229,1.14231,33
1.14232,1.14232,1.14223,1.14226,30
1.14226,1.14247,1.14226,1.1424400000000001,23
1.14246,1.14262,1.14242,1.14261,29
1.14262,1.14283,1.14261,1.14266,69
1.14264,1.14291,1.14263,1.14287,49
1.14287,1.14301,1.14287,1.14297,26
1.14297,1.14302,1.1429,1.14292,19
1.14292,1.14292,1.14263,1.14266,33
1.14262,1.14272,1.14253,1.14266,29
1.14265,1.14282,1.1426,1.14278,45
1.14278,1.14283,1.14272,1.1428099999999999,17
1.14283,1.1429,1.14282,1.14288,27
1.14288,1.14291,1.1428,1.14283,21
1.14282,1.14286,1.14279,1.14286,24
1.14286,1.14296,1.14286,1.14295,30
1.14296,1.1430500000000001,1.14295,1.14304,24
1.14304,1.14307,1.143,1.14301,36
1.143,1.14303,1.14291,1.14292,48
1.14291,1.14296,1.14285,1.14291,37
1.14292,1.14292,1.14275,1.14275,37
1.14275,1.14286,1.14273,1.14285,30
1.14285,1.14285,1.14277,1.14285,17
1.14285,1.14286,1.14276,1.1428,18
1.1428099999999999,1.1428099999999999,1.14277,1.14278,13
1.14277,1.14288,1.14275,1.14286,34
1.14286,1.14286,1.14282,1.14285,27
1.14285,1.14288,1.14276,1.14287,22
1.14287,1.14287,1.14275,1.14283,22
1.14286,1.14292,1.14286,1.14291,6
1.14288,1.14291,1.14283,1.14291,32
1.14291,1.14297,1.14286,1.14297,34
1.14298,1.14299,1.14293,1.14298,43
1.14298,1.143,1.14285,1.14285,12
1.1428,1.14287,1.14276,1.14286,44
1.14286,1.14288,1.14275,1.14286,39
1.14286,1.14292,1.1428,1.14284,24
1.14287,1.14292,1.14277,1.14291,38
1.1429,1.14291,1.1428,1.14284,48
1.14284,1.14298,1.14283,1.14296,34
1.14297,1.14299,1.14288,1.14293,29
1.14293,1.1431,1.14292,1.14307,43
1.14306,1.14318,1.1430500000000001,1.14309,32
1.14309,1.14311,1.14297,1.14299,25
1.143,1.14302,1.14282,1.14295,33
1.14296,1.14312,1.14291,1.14306,33
1.14307,1.14307,1.14292,1.14301,31
1.14299,1.14307,1.14298,1.14299,36
1.14304,1.14304,1.14293,1.14301,30
1.14298,1.14302,1.14293,1.14298,66
1.14299,1.14311,1.14298,1.1431,61
1.14311,1.14311,1.14302,1.14302,35
1.14302,1.1430500000000001,1.14293,1.14296,43
1.14295,1.14296,1.14286,1.1429,30
1.14289,1.14292,1.14279,1.14282,56
1.14282,1.14288,1.14279,1.1428099999999999,38
1.1428099999999999,1.14284,1.1427,1.14276,60
1.14276,1.14277,1.14236,1.14239,89
1.14238,1.14238,1.14201,1.14203,92
1.14203,1.14213,1.14185,1.14185,108
1.14185,1.14189,1.14164,1.14172,92
1.14187,1.14204,1.14169,1.1417,73
1.1417,1.14179,1.1414,1.14141,81
1.1414,1.1415,1.14129,1.1413,73
1.1413,1.14131,1.14121,1.14124,71
1.14124,1.14133,1.14101,1.14104,104
1.14103,1.14118,1.14101,1.14111,77
1.14111,1.14124,1.1409799999999999,1.14112,91
1.14112,1.14145,1.14112,1.14145,66
1.14145,1.14158,1.14142,1.14152,67
1.14152,1.14177,1.14152,1.14169,60
1.14169,1.14175,1.14169,1.14173,26
1.14173,1.1418300000000001,1.14161,1.14161,37
1.14161,1.14166,1.14143,1.1415,55
1.1415,1.1415,1.14124,1.1412499999999999,36
1.14126,1.14136,1.14121,1.14127,54
1.14126,1.1414,1.14126,1.1414,30
1.14139,1.14141,1.14137,1.14137,24
1.14138,1.14138,1.1412200000000001,1.14129,30
1.14129,1.1413,1.14127,1.14129,31
1.14128,1.14128,1.14119,1.14126,19
1.1412499999999999,1.14139,1.14123,1.14137,47
1.14136,1.14142,1.14134,1.1414,38
1.14139,1.14141,1.1413,1.1413,26
1.1413,1.1414,1.14129,1.14135,25
1.14135,1.14137,1.14132,1.14134,49
1.14134,1.14134,1.14123,1.1412499999999999,16
1.14126,1.14128,1.14124,1.1412499999999999,22
1.14124,1.14124,1.1411,1.14114,37
1.14114,1.14115,1.14097,1.14099,57
1.14099,1.14099,1.14095,1.14099,28
1.14099,1.14115,1.14097,1.14107,22
1.14107,1.14126,1.14106,1.1412200000000001,29
1.14123,1.1412499999999999,1.14121,1.1412499999999999,13
1.1412499999999999,1.14126,1.14106,1.14118,72
1.14117,1.1412200000000001,1.14115,1.1412,47
1.1412,1.14121,1.14109,1.14112,22
1.14112,1.14113,1.14102,1.14102,28
1.14102,1.14123,1.14102,1.14123,32
1.14123,1.1412499999999999,1.14114,1.1412200000000001,16
1.14123,1.14123,1.14119,1.14123,9
1.14123,1.14124,1.14121,1.1412200000000001,19
1.1412200000000001,1.14128,1.14118,1.14124,26
1.14123,1.14124,1.1412,1.14124,28
1.14124,1.14134,1.14123,1.14123,17
1.14123,1.14124,1.14103,1.14103,26
1.14105,1.14107,1.14103,1.14107,24
1.14106,1.14107,1.1409799999999999,1.1409799999999999,12
1.1409799999999999,1.1411,1.1409799999999999,1.14109,17
1.14109,1.14119,1.14103,1.14106,36
1.14106,1.14113,1.14094,1.14097,36
1.1409799999999999,1.14101,1.14094,1.141,21
1.141,1.14112,1.1409799999999999,1.14112,58
1.14113,1.14121,1.1411,1.14115,48
1.14113,1.14121,1.14113,1.14121,27
1.14119,1.14133,1.14117,1.1413,64
1.14131,1.14133,1.14131,1.14133,27
1.14133,1.14135,1.14118,1.14121,24
1.14119,1.14124,1.14115,1.14118,20
1.14119,1.14146,1.14118,1.14142,26
