idx,time_offset_min,threshold,entry_tolerance_pips,lookback_bars,two_touch_705,min_sl_pips,sell_only,matches,unmatched_real,unmatched_backtest,median_time_diff_min,median_price_diff_pips
13,120,6.0,3.0,140,False,2.0,False,2,11,4,5.533333333333333,13.149999999999551
15,120,6.0,3.0,140,True,2.0,False,2,11,4,5.533333333333333,13.149999999999551
26,120,7.0,3.0,100,False,2.0,True,2,11,2,22.016666666666666,15.450000000000186
28,120,7.0,3.0,100,True,2.0,True,2,11,2,22.016666666666666,15.450000000000186
30,120,7.0,3.0,140,False,2.0,True,2,11,1,22.016666666666666,15.450000000000186
32,120,7.0,3.0,140,True,2.0,True,2,11,1,22.016666666666666,15.450000000000186
25,120,7.0,3.0,100,False,2.0,False,2,11,5,25.5,14.95000000000024
27,120,7.0,3.0,100,True,2.0,False,2,11,5,25.5,14.95000000000024
29,120,7.0,3.0,140,False,2.0,False,2,11,5,25.5,14.95000000000024
31,120,7.0,3.0,140,True,2.0,False,2,11,5,25.5,14.95000000000024
17,120,7.0,2.0,100,False,2.0,False,2,11,3,30.0,12.700000000001044
18,120,7.0,2.0,100,False,2.0,True,2,11,1,30.0,12.700000000001044
19,120,7.0,2.0,100,True,2.0,False,2,11,3,30.0,12.700000000001044
20,120,7.0,2.0,100,True,2.0,True,2,11,1,30.0,12.700000000001044
21,120,7.0,2.0,140,False,2.0,False,2,11,2,30.0,12.700000000001044
22,120,7.0,2.0,140,False,2.0,True,2,11,0,30.0,12.700000000001044
23,120,7.0,2.0,140,True,2.0,False,2,11,2,30.0,12.700000000001044
24,120,7.0,2.0,140,True,2.0,True,2,11,0,30.0,12.700000000001044
2,120,6.0,2.0,100,False,2.0,True,1,12,1,6.016666666666667,25.200000000000777
4,120,6.0,2.0,100,True,2.0,True,1,12,1,6.016666666666667,25.200000000000777
5,120,6.0,2.0,140,False,2.0,False,1,12,3,6.016666666666667,25.200000000000777
6,120,6.0,2.0,140,False,2.0,True,1,12,1,6.016666666666667,25.200000000000777
7,120,6.0,2.0,140,True,2.0,False,1,12,3,6.016666666666667,25.200000000000777
8,120,6.0,2.0,140,True,2.0,True,1,12,1,6.016666666666667,25.200000000000777
10,120,6.0,3.0,100,False,2.0,True,1,12,2,6.016666666666667,25.200000000000777
12,120,6.0,3.0,100,True,2.0,True,1,12,2,6.016666666666667,25.200000000000777
14,120,6.0,3.0,140,False,2.0,True,1,12,1,6.016666666666667,25.200000000000777
16,120,6.0,3.0,140,True,2.0,True,1,12,1,6.016666666666667,25.200000000000777
9,120,6.0,3.0,100,False,2.0,False,1,12,5,10.983333333333333,25.600000000001177
11,120,6.0,3.0,100,True,2.0,False,1,12,5,10.983333333333333,25.600000000001177
1,120,6.0,2.0,100,False,2.0,False,0,13,3,,
3,120,6.0,2.0,100,True,2.0,False,0,13,3,,
